<block:advancedrocketry:advrocketmotor>, Advanced Rocket Engine
<block:tfc:double_slab/cobble/rocksalt>, Rocksalt Cobble Double Slab
<block:tfc:double_slab/cobble/schist>, Schist Cobble Double Slab
<block:tfc:double_slab/cobble/shale>, Shale Cobble Double Slab
<block:tfc:double_slab/cobble/slate>, Slate Cobble Double Slab
<block:tfc:double_slab/smooth/andesite>, Smooth Andesite Double Slab
<block:tfc:double_slab/smooth/basalt>, Smooth Basalt Double Slab
<block:tfc:double_slab/smooth/chalk>, Smooth Chalk Double Slab
<block:tfc:double_slab/smooth/chert>, Smooth Chert Double Slab
<block:tfc:double_slab/smooth/claystone>, Smooth Claystone Double Slab
<block:tfc:double_slab/smooth/conglomerate>, Smooth Conglomerate Double Slab
<block:tfc:double_slab/smooth/dacite>, Smooth Dacite Double Slab
<block:tfc:double_slab/smooth/diorite>, Smooth Diorite Double Slab
<block:tfc:double_slab/smooth/dolomite>, Smooth Dolomite Double Slab
<block:tfc:double_slab/smooth/gabbro>, Smooth Gabbro Double Slab
<block:tfc:double_slab/smooth/gneiss>, Smooth Gneiss Double Slab
<block:tfc:double_slab/smooth/granite>, Smooth Granite Double Slab
<block:tfc:double_slab/smooth/limestone>, Smooth Limestone Double Slab
<block:tfc:double_slab/smooth/marble>, Smooth Marble Double Slab
<block:tfc:double_slab/smooth/phyllite>, Smooth Phyllite Double Slab
<block:tfc:double_slab/smooth/quartzite>, Smooth Quartzite Double Slab
<block:tfc:double_slab/smooth/rhyolite>, Smooth Rhyolite Double Slab
<block:tfc:double_slab/smooth/rocksalt>, Smooth Rocksalt Double Slab
<block:tfc:double_slab/smooth/schist>, Smooth Schist Double Slab
<block:tfc:double_slab/smooth/shale>, Smooth Shale Double Slab
<block:tfc:double_slab/smooth/slate>, Smooth Slate Double Slab
<block:tfc:double_slab/wood/acacia>, Acacia Double Slab
<block:tfc:double_slab/wood/ash>, Ash Double Slab
<block:tfc:double_slab/wood/aspen>, Aspen Double Slab
<block:tfc:double_slab/wood/birch>, Birch Double Slab
<block:tfc:double_slab/wood/blackwood>, Blackwood Double Slab
<block:tfc:double_slab/wood/chestnut>, Chestnut Double Slab
<block:tfc:double_slab/wood/douglas_fir>, Douglas Fir Double Slab
<block:tfc:double_slab/wood/hevea>, tile.tfc.double_slab.wood.hevea.name
<block:tfc:double_slab/wood/hickory>, Hickory Double Slab
<block:tfc:double_slab/wood/kapok>, Kapok Double Slab
<block:tfc:double_slab/wood/maple>, Maple Double Slab
<block:tfc:double_slab/wood/oak>, Oak Double Slab
<block:tfc:double_slab/wood/palm>, Palm Double Slab
<block:tfc:double_slab/wood/pine>, Pine Double Slab
<block:tfc:double_slab/wood/rosewood>, Rosewood Double Slab
<block:tfc:double_slab/wood/sequoia>, Sequoia Double Slab
<block:tfc:double_slab/wood/spruce>, Spruce Double Slab
<block:tfc:double_slab/wood/sycamore>, Sycamore Double Slab
<block:tfc:double_slab/wood/white_cedar>, White Cedar Double Slab
<block:tfc:double_slab/wood/willow>, Willow Double Slab
<block:tfc:dry_grass/andesite>, Dry Andesite Grass
<block:tfc:dry_grass/basalt>, Dry Basalt Grass
<block:tfc:dry_grass/chalk>, Dry Chalk Grass
<block:tfc:dry_grass/chert>, Dry Chert Grass
<block:tfc:dry_grass/claystone>, Dry Claystone Grass
<block:tfc:dry_grass/conglomerate>, Dry Conglomerate Grass
<block:tfc:dry_grass/dacite>, Dry Dacite Grass
<block:tfc:dry_grass/diorite>, Dry Diorite Grass
<block:tfc:dry_grass/dolomite>, Dry Dolomite Grass
<block:tfc:dry_grass/gabbro>, Dry Gabbro Grass
<block:tfc:dry_grass/gneiss>, Dry Gneiss Grass
<block:tfc:dry_grass/granite>, Dry Granite Grass
<block:tfc:dry_grass/limestone>, Dry Limestone Grass
<block:tfc:dry_grass/marble>, Dry Marble Grass
<block:tfc:dry_grass/phyllite>, Dry Phyllite Grass
<block:tfc:dry_grass/quartzite>, Dry Quartzite Grass
<block:tfc:dry_grass/rhyolite>, Dry Rhyolite Grass
<block:tfc:dry_grass/rocksalt>, Dry Rocksalt Grass
<block:tfc:dry_grass/schist>, Dry Schist Grass
<block:tfc:dry_grass/shale>, Dry Shale Grass
<block:tfc:dry_grass/slate>, Dry Slate Grass
<block:tfc:farmland/andesite>, Andesite Farmland
<block:tfc:farmland/basalt>, Basalt Farmland
<block:tfc:farmland/chalk>, Chalk Farmland
<block:tfc:farmland/chert>, Chert Farmland
<block:tfc:farmland/claystone>, Claystone Farmland
<block:tfc:farmland/conglomerate>, Conglomerate Farmland
<block:tfc:farmland/dacite>, Dacite Farmland
<block:tfc:farmland/diorite>, Diorite Farmland
<block:tfc:farmland/dolomite>, Dolomite Farmland
<block:tfc:farmland/gabbro>, Gabbro Farmland
<block:tfc:farmland/gneiss>, Gneiss Farmland
<block:tfc:farmland/granite>, Granite Farmland
<block:tfc:farmland/limestone>, Limestone Farmland
<block:tfc:farmland/marble>, Marble Farmland
<block:tfc:farmland/phyllite>, Phyllite Farmland
<block:tfc:farmland/quartzite>, Quartzite Farmland
<block:tfc:farmland/rhyolite>, Rhyolite Farmland
<block:tfc:farmland/rocksalt>, Rocksalt Farmland
<block:tfc:farmland/schist>, Schist Farmland
<block:tfc:farmland/shale>, Shale Farmland
<block:tfc:farmland/slate>, Slate Farmland
<block:tfc:fire_bricks>, Fire Bricks
<block:tfc:fire_clay_block>, Fire Clay
<block:tfc:firepit>, Firepit
<block:tfc:fluid/aluminum>, tile.tfc.fluid.aluminum.name
<block:tfc:fluid/aluminum_brass>, tile.tfc.fluid.aluminum_brass.name
<block:tfc:fluid/antimony>, tile.tfc.fluid.antimony.name
<block:tfc:fluid/ardite>, tile.tfc.fluid.ardite.name
<block:tfc:fluid/beer>, tile.tfc.fluid.beer.name
<block:tfc:fluid/beryllium>, tile.tfc.fluid.beryllium.name
<block:tfc:fluid/beryllium_copper>, tile.tfc.fluid.beryllium_copper.name
<block:tfc:fluid/bismuth>, tile.tfc.fluid.bismuth.name
<block:tfc:fluid/bismuth_bronze>, tile.tfc.fluid.bismuth_bronze.name
<block:tfc:fluid/black_bronze>, tile.tfc.fluid.black_bronze.name
<block:tfc:fluid/black_dye>, tile.tfc.fluid.black_dye.name
<block:tfc:fluid/black_steel>, tile.tfc.fluid.black_steel.name
<block:tfc:fluid/blue_dye>, tile.tfc.fluid.blue_dye.name
<block:tfc:fluid/blue_steel>, tile.tfc.fluid.blue_steel.name
<block:tfc:fluid/boron>, tile.tfc.fluid.boron.name
<block:tfc:fluid/brass>, tile.tfc.fluid.brass.name
<block:tfc:fluid/brine>, tile.tfc.fluid.brine.name
<block:tfc:fluid/bronze>, tile.tfc.fluid.bronze.name
<block:tfc:fluid/brown_dye>, tile.tfc.fluid.brown_dye.name
<block:tfc:fluid/cider>, tile.tfc.fluid.cider.name
<block:tfc:fluid/cobalt>, tile.tfc.fluid.cobalt.name
<block:tfc:fluid/constantan>, tile.tfc.fluid.constantan.name
<block:tfc:fluid/copper>, tile.tfc.fluid.copper.name
<block:tfc:fluid/corn_whiskey>, tile.tfc.fluid.corn_whiskey.name
<block:tfc:fluid/cyan_dye>, tile.tfc.fluid.cyan_dye.name
<block:tfc:fluid/electrum>, tile.tfc.fluid.electrum.name
<block:tfc:fluid/ferroboron>, tile.tfc.fluid.ferroboron.name
<block:tfc:fluid/fresh_water>, tile.tfc.fluid.fresh_water.name
<block:tfc:fluid/gold>, tile.tfc.fluid.gold.name
<block:tfc:fluid/gray_dye>, tile.tfc.fluid.gray_dye.name
<block:tfc:fluid/green_dye>, tile.tfc.fluid.green_dye.name
<block:tfc:fluid/high_carbon_black_steel>, tile.tfc.fluid.high_carbon_black_steel.name
<block:tfc:fluid/high_carbon_blue_steel>, tile.tfc.fluid.high_carbon_blue_steel.name
<block:tfc:fluid/high_carbon_red_steel>, tile.tfc.fluid.high_carbon_red_steel.name
<block:tfc:fluid/high_carbon_steel>, tile.tfc.fluid.high_carbon_steel.name
<block:tfc:fluid/hot_water>, tile.tfc.fluid.hot_water.name
<block:tfc:fluid/hsla_steel>, tile.tfc.fluid.hsla_steel.name
<block:tfc:fluid/invar>, tile.tfc.fluid.invar.name
<block:tfc:fluid/lead>, tile.tfc.fluid.lead.name
<block:tfc:fluid/light_blue_dye>, tile.tfc.fluid.light_blue_dye.name
<block:tfc:fluid/light_gray_dye>, tile.tfc.fluid.light_gray_dye.name
<block:tfc:fluid/lime_dye>, tile.tfc.fluid.lime_dye.name
<block:tfc:fluid/limewater>, tile.tfc.fluid.limewater.name
<block:tfc:fluid/lithium>, tile.tfc.fluid.lithium.name
<block:tfc:fluid/magenta_dye>, tile.tfc.fluid.magenta_dye.name
<block:tfc:fluid/magnesium>, tile.tfc.fluid.magnesium.name
<block:tfc:fluid/magnesium_diboride>, tile.tfc.fluid.magnesium_diboride.name
<block:tfc:fluid/manganese>, tile.tfc.fluid.manganese.name
<block:tfc:fluid/manyullyn>, tile.tfc.fluid.manyullyn.name
<block:tfc:fluid/milk>, tile.tfc.fluid.milk.name
<block:tfc:fluid/milk_curdled>, tile.tfc.fluid.milk_curdled.name
<block:tfc:fluid/milk_vinegar>, tile.tfc.fluid.milk_vinegar.name
<block:tfc:fluid/nickel>, tile.tfc.fluid.nickel.name
<block:tfc:fluid/nickel_silver>, tile.tfc.fluid.nickel_silver.name
<block:tfc:fluid/olive_oil>, tile.tfc.fluid.olive_oil.name
<block:tfc:fluid/olive_oil_water>, tile.tfc.fluid.olive_oil_water.name
<block:tfc:fluid/orange_dye>, tile.tfc.fluid.orange_dye.name
<block:tfc:fluid/osmium>, tile.tfc.fluid.osmium.name
<block:tfc:fluid/pig_iron>, tile.tfc.fluid.pig_iron.name
<block:tfc:fluid/pink_dye>, tile.tfc.fluid.pink_dye.name
<block:tfc:fluid/platinum>, tile.tfc.fluid.platinum.name
<block:tfc:fluid/purple_dye>, tile.tfc.fluid.purple_dye.name
<block:tfc:fluid/red_alloy>, tile.tfc.fluid.red_alloy.name
<block:tfc:fluid/red_dye>, tile.tfc.fluid.red_dye.name
<block:tfc:fluid/red_steel>, tile.tfc.fluid.red_steel.name
<block:tfc:fluid/rose_gold>, tile.tfc.fluid.rose_gold.name
<block:tfc:fluid/rum>, tile.tfc.fluid.rum.name
<block:tfc:fluid/rye_whiskey>, tile.tfc.fluid.rye_whiskey.name
<block:tfc:fluid/sake>, tile.tfc.fluid.sake.name
<block:tfc:fluid/salt_water>, tile.tfc.fluid.salt_water.name
<block:tfc:fluid/silver>, tile.tfc.fluid.silver.name
<block:tfc:fluid/steel>, tile.tfc.fluid.steel.name
<block:tfc:fluid/sterling_silver>, tile.tfc.fluid.sterling_silver.name
<block:tfc:fluid/tannin>, tile.tfc.fluid.tannin.name
<block:tfc:fluid/thorium>, tile.tfc.fluid.thorium.name
<block:tfc:fluid/tin>, tile.tfc.fluid.tin.name
<block:tfc:fluid/titanium>, tile.tfc.fluid.titanium.name
<block:tfc:fluid/tough>, tile.tfc.fluid.tough.name
<block:tfc:fluid/tungsten>, tile.tfc.fluid.tungsten.name
<block:tfc:fluid/tungsten_steel>, tile.tfc.fluid.tungsten_steel.name
<block:tfc:fluid/unknown>, tile.tfc.fluid.unknown.name
<block:tfc:fluid/uranium>, tile.tfc.fluid.uranium.name
<block:tfc:fluid/vinegar>, tile.tfc.fluid.vinegar.name
<block:tfc:fluid/vodka>, tile.tfc.fluid.vodka.name
<block:tfc:fluid/weak_blue_steel>, tile.tfc.fluid.weak_blue_steel.name
<block:tfc:fluid/weak_red_steel>, tile.tfc.fluid.weak_red_steel.name
<block:tfc:fluid/weak_steel>, tile.tfc.fluid.weak_steel.name
<block:tfc:fluid/whiskey>, tile.tfc.fluid.whiskey.name
<block:tfc:fluid/white_dye>, tile.tfc.fluid.white_dye.name
<block:tfc:fluid/wrought_iron>, tile.tfc.fluid.wrought_iron.name
<block:tfc:fluid/yellow_dye>, tile.tfc.fluid.yellow_dye.name
<block:tfc:fluid/zinc>, tile.tfc.fluid.zinc.name
<block:tfc:fluid/zircaloy>, tile.tfc.fluid.zircaloy.name
<block:tfc:fluid/zirconium>, tile.tfc.fluid.zirconium.name
<block:tfc:fruit_trees/branch/banana>, tile.tfc.fruit_trees.branch.banana.name
<block:tfc:fruit_trees/branch/cherry>, tile.tfc.fruit_trees.branch.cherry.name
<block:tfc:fruit_trees/branch/green_apple>, tile.tfc.fruit_trees.branch.green_apple.name
<block:tfc:fruit_trees/branch/lemon>, tile.tfc.fruit_trees.branch.lemon.name
<block:tfc:fruit_trees/branch/olive>, tile.tfc.fruit_trees.branch.olive.name
<block:tfc:fruit_trees/branch/orange>, tile.tfc.fruit_trees.branch.orange.name
<block:tfc:fruit_trees/branch/peach>, tile.tfc.fruit_trees.branch.peach.name
<block:tfc:fruit_trees/branch/plum>, tile.tfc.fruit_trees.branch.plum.name
<block:tfc:fruit_trees/branch/red_apple>, tile.tfc.fruit_trees.branch.red_apple.name
<block:tfc:fruit_trees/leaves/banana>, Banana Leaves
<block:tfc:fruit_trees/leaves/cherry>, Cherry Leaves
<block:tfc:fruit_trees/leaves/green_apple>, Green Apple Leaves
<block:tfc:fruit_trees/leaves/lemon>, Lemon Leaves
<block:tfc:fruit_trees/leaves/olive>, Olive Leaves
<block:tfc:fruit_trees/leaves/orange>, Orange Leaves
<block:tfc:fruit_trees/leaves/peach>, Peach Leaves
<block:tfc:fruit_trees/leaves/plum>, Plum Leaves
<block:tfc:fruit_trees/leaves/red_apple>, Red Apple Leaves
<block:tfc:fruit_trees/sapling/banana>, Banana Sapling
<block:tfc:fruit_trees/sapling/cherry>, Cherry Sapling
<block:tfc:fruit_trees/sapling/green_apple>, Green Apple Sapling
<block:tfc:fruit_trees/sapling/lemon>, Lemon Sapling
<block:tfc:fruit_trees/sapling/olive>, Olive Sapling
<block:tfc:fruit_trees/sapling/orange>, Orange Sapling
<block:tfc:fruit_trees/sapling/peach>, Peach Sapling
<block:tfc:fruit_trees/sapling/plum>, Plum Sapling
<block:tfc:fruit_trees/sapling/red_apple>, Red Apple Sapling
<block:tfc:fruit_trees/trunk/banana>, tile.tfc.fruit_trees.trunk.banana.name
<block:tfc:fruit_trees/trunk/cherry>, tile.tfc.fruit_trees.trunk.cherry.name
<block:tfc:fruit_trees/trunk/green_apple>, tile.tfc.fruit_trees.trunk.green_apple.name
<block:tfc:fruit_trees/trunk/lemon>, tile.tfc.fruit_trees.trunk.lemon.name
<block:tfc:fruit_trees/trunk/olive>, tile.tfc.fruit_trees.trunk.olive.name
<block:tfc:fruit_trees/trunk/orange>, tile.tfc.fruit_trees.trunk.orange.name
<block:tfc:fruit_trees/trunk/peach>, tile.tfc.fruit_trees.trunk.peach.name
<block:tfc:fruit_trees/trunk/plum>, tile.tfc.fruit_trees.trunk.plum.name
<block:tfc:fruit_trees/trunk/red_apple>, tile.tfc.fruit_trees.trunk.red_apple.name
<block:tfc:grass/andesite>, Andesite Grass
<block:tfc:grass/basalt>, Basalt Grass
<block:tfc:grass/chalk>, Chalk Grass
<block:tfc:grass/chert>, Chert Grass
<block:tfc:grass/claystone>, Claystone Grass
<block:tfc:grass/conglomerate>, Conglomerate Grass
<block:tfc:grass/dacite>, Dacite Grass
<block:tfc:grass/diorite>, Diorite Grass
<block:tfc:grass/dolomite>, Dolomite Grass
<block:tfc:grass/gabbro>, Gabbro Grass
<block:tfc:grass/gneiss>, Gneiss Grass
<block:tfc:grass/granite>, Granite Grass
<block:tfc:grass/limestone>, Limestone Grass
<block:tfc:grass/marble>, Marble Grass
<block:tfc:grass/phyllite>, Phyllite Grass
<block:tfc:grass/quartzite>, Quartzite Grass
<block:tfc:grass/rhyolite>, Rhyolite Grass
<block:tfc:grass/rocksalt>, Rocksalt Grass
<block:tfc:grass/schist>, Schist Grass
<block:tfc:grass/shale>, Shale Grass
<block:tfc:grass/slate>, Slate Grass
<block:tfc:gravel/andesite>, Andesite Gravel
<block:tfc:gravel/basalt>, Basalt Gravel
<block:tfc:gravel/chalk>, Chalk Gravel
<block:tfc:gravel/chert>, Chert Gravel
<block:tfc:gravel/claystone>, Claystone Gravel
<block:tfc:gravel/conglomerate>, Conglomerate Gravel
<block:tfc:gravel/dacite>, Dacite Gravel
<block:tfc:gravel/diorite>, Diorite Gravel
<block:tfc:gravel/dolomite>, Dolomite Gravel
<block:tfc:gravel/gabbro>, Gabbro Gravel
<block:tfc:gravel/gneiss>, Gneiss Gravel
<block:tfc:gravel/granite>, Granite Gravel
<block:tfc:gravel/limestone>, Limestone Gravel
<block:tfc:gravel/marble>, Marble Gravel
<block:tfc:gravel/phyllite>, Phyllite Gravel
<block:tfc:gravel/quartzite>, Quartzite Gravel
<block:tfc:gravel/rhyolite>, Rhyolite Gravel
<block:tfc:gravel/rocksalt>, Rocksalt Gravel
<block:tfc:gravel/schist>, Schist Gravel
<block:tfc:gravel/shale>, Shale Gravel
<block:tfc:gravel/slate>, Slate Gravel
<block:tfc:ingot_pile>, tile.tfc.ingot_pile.name
<block:tfc:lamp/aluminum>, Aluminum Lamp
<block:tfc:lamp/aluminum_brass>, Aluminum Brass Lamp
<block:tfc:lamp/antimony>, Antimony Lamp
<block:tfc:lamp/ardite>, Ardite Lamp
<block:tfc:lamp/beryllium>, Beryllium Lamp
<block:tfc:lamp/beryllium_copper>, Beryllium Copper Lamp
<block:tfc:lamp/bismuth>, Bismuth Lamp
<block:tfc:lamp/bismuth_bronze>, Bismuth Bronze Lamp
<block:tfc:lamp/black_bronze>, Black Bronze Lamp
<block:tfc:lamp/black_steel>, Black Steel Lamp
<block:tfc:lamp/blue_steel>, Blue Steel Lamp
<block:tfc:lamp/boron>, Boron Lamp
<block:tfc:lamp/brass>, Brass Lamp
<block:tfc:lamp/bronze>, Bronze Lamp
<block:tfc:lamp/cobalt>, Cobalt Lamp
<block:tfc:lamp/constantan>, Constantan Lamp
<block:tfc:lamp/copper>, Copper Lamp
<block:tfc:lamp/electrum>, Electrum Lamp
<block:tfc:lamp/ferroboron>, Ferroboron Lamp
<block:tfc:lamp/gold>, Gold Lamp
<block:tfc:lamp/hsla_steel>, Hsla Steel Lamp
<block:tfc:lamp/invar>, Invar Lamp
<block:tfc:lamp/lead>, Lead Lamp
<block:tfc:lamp/lithium>, Lithium Lamp
<block:tfc:lamp/magnesium>, Magnesium Lamp
<block:tfc:lamp/magnesium_diboride>, Magnesium Diboride Lamp
<block:tfc:lamp/manganese>, Manganese Lamp
<block:tfc:lamp/manyullyn>, Manyullyn Lamp
<block:tfc:lamp/nickel>, Nickel Lamp
<block:tfc:lamp/nickel_silver>, Nickel Silver Lamp
<block:tfc:lamp/osmium>, Osmium Lamp
<block:tfc:lamp/pig_iron>, Pig Iron Lamp
<block:tfc:lamp/platinum>, Platinum Lamp
<block:tfc:lamp/red_alloy>, Red Alloy Lamp
<block:tfc:lamp/red_steel>, Red Steel Lamp
<block:tfc:lamp/rose_gold>, Rose Gold Lamp
<block:tfc:lamp/silver>, Silver Lamp
<block:tfc:lamp/steel>, Steel Lamp
<block:tfc:lamp/sterling_silver>, Sterling Silver Lamp
<block:tfc:lamp/thorium>, Thorium Lamp
<block:tfc:lamp/tin>, Tin Lamp
<block:tfc:lamp/titanium>, Titanium Lamp
<block:tfc:lamp/tough>, Tough Lamp
<block:tfc:lamp/tungsten>, Tungsten Lamp
<block:tfc:lamp/tungsten_steel>, Tungsten Steel Lamp
<block:tfc:lamp/uranium>, Uranium Lamp
<block:tfc:lamp/wrought_iron>, Wrought Iron Lamp
<block:tfc:lamp/zinc>, Zinc Lamp
<block:tfc:lamp/zircaloy>, Zircaloy Lamp
<block:tfc:lamp/zirconium>, Zirconium Lamp
<block:tfc:log_pile>, tile.tfc.log_pile.name
<block:tfc:molten>, tile.tfc.molten.name
<block:tfc:nest_box>, Nest Box
<block:tfc:ore/arsenic/andesite>, Arsenic Andesite
<block:tfc:ore/arsenic/basalt>, Arsenic Basalt
<block:tfc:ore/arsenic/chalk>, Arsenic Chalk
<block:tfc:ore/arsenic/chert>, Arsenic Chert
<block:tfc:ore/arsenic/claystone>, Arsenic Claystone
<block:tfc:ore/arsenic/conglomerate>, Arsenic Conglomerate
<block:tfc:ore/arsenic/dacite>, Arsenic Dacite
<block:tfc:ore/arsenic/diorite>, Arsenic Diorite
<block:tfc:ore/arsenic/dolomite>, Arsenic Dolomite
<block:tfc:ore/arsenic/gabbro>, Arsenic Gabbro
<block:tfc:ore/arsenic/gneiss>, Arsenic Gneiss
<block:tfc:ore/arsenic/granite>, Arsenic Granite
<block:tfc:ore/arsenic/limestone>, Arsenic Limestone
<block:tfc:ore/arsenic/marble>, Arsenic Marble
<block:tfc:ore/arsenic/phyllite>, Arsenic Phyllite
<block:tfc:ore/arsenic/quartzite>, Arsenic Quartzite
<block:tfc:ore/arsenic/rhyolite>, Arsenic Rhyolite
<block:tfc:ore/arsenic/rocksalt>, Arsenic Rocksalt
<block:tfc:ore/arsenic/schist>, Arsenic Schist
<block:tfc:ore/arsenic/shale>, Arsenic Shale
<block:tfc:ore/arsenic/slate>, Arsenic Slate
<block:tfc:ore/bauxite/andesite>, Bauxite Andesite
<block:tfc:ore/bauxite/basalt>, Bauxite Basalt
<block:tfc:ore/bauxite/chalk>, Bauxite Chalk
<block:tfc:ore/bauxite/chert>, Bauxite Chert
<block:tfc:ore/bauxite/claystone>, Bauxite Claystone
<block:tfc:ore/bauxite/conglomerate>, Bauxite Conglomerate
<block:tfc:ore/bauxite/dacite>, Bauxite Dacite
<block:tfc:ore/bauxite/diorite>, Bauxite Diorite
<block:tfc:ore/bauxite/dolomite>, Bauxite Dolomite
<block:tfc:ore/bauxite/gabbro>, Bauxite Gabbro
<block:tfc:ore/bauxite/gneiss>, Bauxite Gneiss
<block:tfc:ore/bauxite/granite>, Bauxite Granite
<block:tfc:ore/bauxite/limestone>, Bauxite Limestone
<block:tfc:ore/bauxite/marble>, Bauxite Marble
<block:tfc:ore/bauxite/phyllite>, Bauxite Phyllite
<block:tfc:ore/bauxite/quartzite>, Bauxite Quartzite
<block:tfc:ore/bauxite/rhyolite>, Bauxite Rhyolite
<block:tfc:ore/bauxite/rocksalt>, Bauxite Rocksalt
<block:tfc:ore/bauxite/schist>, Bauxite Schist
<block:tfc:ore/bauxite/shale>, Bauxite Shale
<block:tfc:ore/bauxite/slate>, Bauxite Slate
<block:tfc:ore/bismuthinite/andesite>, Andesite Bismuthinite
<block:tfc:ore/bismuthinite/basalt>, Basalt Bismuthinite
<block:tfc:ore/bismuthinite/chalk>, Chalk Bismuthinite
<block:tfc:ore/bismuthinite/chert>, Chert Bismuthinite
<block:tfc:ore/bismuthinite/claystone>, Claystone Bismuthinite
<block:tfc:ore/bismuthinite/conglomerate>, Conglomerate Bismuthinite
